bID,name,address,cord,numOfReview,rating,zipcode,cuisine
0lpHYqjWvNZ1Z66Re3KNoQ,Contigo,"2027 Anchor Ln, Austin, TX 78723","30.28804, -97.70335",835,4,78723,american
0m37jXQ4L674snDLZaSNeQ,The Roof Garden,"9882 Santa Monica Blvd, Beverly Hills, CA 90212","34.065944, -118.41106",147,4,90212,american
0MbnNM2IvNWMQ1YsPfDTjQ,"The Butcher, The Baker, The Cappuccino Maker","8653 W Sunset Blvd, West Hollywood, CA 90069","34.0921328, -118.3805803",2103,4,90069,american
0moBSyrTezcT3uePV74nug,Westville Hell's Kitchen,"809 9th Ave, New York, NY 10019","40.76577, -73.9875",171,4.5,10019,american
0nkFq-dwKrFbmSz3BUIRIA,Francisca Restaurant,"10802 NW 58th St, Doral, FL 33178","25.8251, -80.37193",264,3.5,33178,american
0oXuts9ew-_LN0F5c9M1YA,Phil's Icehouse,"5620 Burnet Rd, Austin, TX 78756","30.33218, -97.74032",549,4,78756,american
0pA6I_MyX4hs1eivrGSmjA,North Point Chopsticks,"2532 Waukegan Rd, Glenview, IL 60025","42.1000702, -87.8007361",192,4,60025,chinese
0PPM0wxA2r8XVM8vbMm9Pw,MCCB Chicago 时尚食谱,"2138 South Archer Ave, Chicago, IL 60616","41.853906974902266, -87.63366102533693",508,4.5,60616,chinese
0q06Jw1RsvMbwR1UeHLFeA,Mori Sushi&Bento,"19367 7th Ave Ne, Ste 121, Poulsbo, WA 98370","47.738775, -122.64128",89,4,98370,japanese
0RbMD6-aaC3XUTRbs0TmRQ,Sushi Zushi,"3221 Feathergrass Ct, Austin, TX 78758","30.394752, -97.727723",559,3,78758,chinese
0RbMD6-aaC3XUTRbs0TmRQ,Sushi Zushi,"3221 Feathergrass Ct, Austin, TX 78758","30.394752, -97.727723",559,3,78758,japanese
0rqp9CbHsZZEw1UOUHInWg,Yu Shan Chinese Restaurant,"14553 Bothell Way NE, Shoreline, WA 98155","47.735197, -122.292811",186,3,98155,chinese
